AnimalID,SessionIndex,Accuracy
BLA00,1,50.8333333333333
BLA00,2,48.3333333333333
BLA00,3,48.3333333333333
BLA00,4,50.8333333333333
BLA00,5,50.8333333333333
BLA00,6,50
BLA00,7,60
BLA00,8,52.5
BLA00,9,46.6666666666667
BLA00,10,50.8333333333333
BLA00,11,57.5
BLA00,12,65.8333333333333
BLA00,13,84.8739495798319
BLA00,14,88.3333333333333
BLA00,15,88.3333333333333
BLA02,1,50
BLA02,2,49.1666666666667
BLA02,3,47.5
BLA02,4,52.5
BLA02,5,59.1666666666667
BLA02,6,66.6666666666667
BLA02,7,81.6666666666667
BLA02,8,79.1666666666667
BLA02,9,85
BLA03,1,51.6666666666667
BLA03,2,57.5
BLA03,3,51.6666666666667
BLA03,4,61.6666666666667
BLA03,5,79.1666666666667
BLA03,6,84.1666666666667
BLA03,7,92.5
BLA03,8,85.8333333333333
BLA04,1,51.6666666666667
BLA04,2,50
BLA04,3,50.8333333333333
BLA04,4,50.8333333333333
BLA04,5,50.8333333333333
BLA04,6,50
BLA04,7,53.3333333333333
BLA04,8,60.8333333333333
BLA04,9,60.8333333333333
BLA04,10,90.8333333333333
BLA04,11,95
BLA04,12,90.8333333333333
BLA06,1,49.4623655913978
BLA06,2,50
BLA06,3,49.1666666666667
BLA06,4,47.5
BLA06,5,49.1666666666667
BLA06,6,50.8333333333333
BLA06,7,50
BLA06,8,50.8333333333333
BLA06,9,50
BLA06,10,50
BLA06,11,49.1666666666667
BLA06,12,50
BLA06,13,65.8333333333333
BLA06,14,65
BLA06,15,81.6666666666667
BLA07,1,52.9411764705882
BLA07,2,50
BLA07,3,60
BLA07,4,50.8333333333333
BLA07,5,50.8333333333333
BLA07,6,57.5
BLA07,7,61.6666666666667
BLA07,8,71.6666666666667
BLA07,9,75.6302521008403
BLA07,10,89.1666666666667
BLA08,1,48.3333333333333
BLA08,2,47.5
BLA08,3,49.1666666666667
BLA08,4,50.4201680672269
BLA08,5,50.8333333333333
BLA08,6,70
BLA08,7,53.3333333333333
BLA08,8,83.3333333333333
BLA09,1,50.8333333333333
BLA09,2,50.4201680672269
BLA09,3,50
BLA09,4,50
BLA09,5,48.3333333333333
BLA09,6,50
BLA09,7,55
BLA09,8,52.5
BLA09,9,65.8333333333333
BLA09,10,68.0672268907563
BLA09,11,76.6666666666667
BLA09,12,84.8739495798319
BLA09,13,83.3333333333333
BLA10,1,49.1666666666667
BLA10,2,50
BLA10,3,49.5798319327731
BLA10,4,57.5
BLA10,5,69.1666666666667
BLA10,6,57.9831932773109
BLA10,7,71.4285714285714
BLA10,8,80.8333333333333
BLA10,9,84.8739495798319
BLA11,1,51.6666666666667
BLA11,2,51.6666666666667
BLA11,3,64.1666666666667
BLA11,4,61.6666666666667
BLA11,5,72.5
BLA11,6,73.3333333333333
BLA11,7,78.3333333333333
BLA11,8,82.5
BLA12,1,45
BLA12,2,51.6666666666667
BLA12,3,50.8333333333333
BLA12,4,53.0612244897959
BLA12,5,60
BLA12,6,78.3333333333333
BLA12,7,75.8333333333333
BLA12,8,82.5
BLA12,9,83.3333333333333
BLA13,1,55
BLA13,2,52.5
BLA13,3,55.4545454545455
BLA13,4,59.1666666666667
BLA13,5,51.6666666666667
BLA13,6,50.8333333333333
BLA13,7,50
BLA13,8,49.1666666666667
BLA13,9,52.5
BLA13,10,51.6666666666667
BLA13,11,60.8333333333333
BLA13,12,72.5
BLA13,13,78.3333333333333
BLA15,1,48.3333333333333
BLA15,2,50.4201680672269
BLA15,3,50
BLA15,4,50
BLA15,5,50.4201680672269
BLA15,6,49.5798319327731
BLA15,7,51.6666666666667
BLA15,8,50.4201680672269
BLA15,9,50.4201680672269
BLA15,10,50
BLA15,11,52.5
BLA15,12,56.6666666666667
BLA15,13,75.8333333333333
BLA16,1,58.3333333333333
BLA16,2,51.6666666666667
BLA16,3,49.1666666666667
BLA16,4,47.5
BLA16,5,54.3478260869565
BLA16,6,52.5
BLA16,7,64.1666666666667
BLA16,8,68.9075630252101
BLA16,9,89.1666666666667
BLA16,10,93.3333333333333
BLA17,1,49.1666666666667
BLA17,2,50.8333333333333
BLA17,3,51.6666666666667
BLA17,4,52.5
BLA17,5,52.5
BLA17,6,52.5
BLA17,7,54.6218487394958
BLA17,8,65.8333333333333
BLA17,9,59.1666666666667
BLA17,10,81.6666666666667
BLA17,11,83.1932773109244
vHPC07,1,51.2605042016807
vHPC07,2,51.6666666666667
vHPC07,3,49.5798319327731
vHPC07,4,58.8235294117647
vHPC07,5,80.8333333333333
vHPC08,1,50.4201680672269
vHPC08,2,50.4201680672269
vHPC08,3,49.5798319327731
vHPC08,4,52.9411764705882
vHPC08,5,79.1666666666667
vHPC08,6,86.5546218487395
