animalID,stimPairNum,stimPairName,experiment,sessionOrder,blockIndex,blockStartTrial,blockEndTrial,meanAccuracy,nTrials,xValue
BLA04,1,BB00_CC01,training,1,1,1,20,59.6349206349206,120,1
BLA04,1,BB00_CC01,training,1,2,21,40,47.5,120,21
BLA04,1,BB00_CC01,training,1,3,41,60,55.5,120,41
BLA04,1,BB00_CC01,training,1,4,61,80,48.5,120,61
BLA04,1,BB00_CC01,training,1,5,81,100,54.5,120,81
BLA04,1,BB00_CC01,training,1,6,101,120,43.2400793650794,120,101
BLA04,1,BB00_CC01,training,2,1,1,20,50.593253968254,120,121
BLA04,1,BB00_CC01,training,2,2,21,40,52.5,120,141
BLA04,1,BB00_CC01,training,2,3,41,60,45,120,161
BLA04,1,BB00_CC01,training,2,4,61,80,51,120,181
BLA04,1,BB00_CC01,training,2,5,81,100,52.5,120,201
BLA04,1,BB00_CC01,training,2,6,101,120,49.0793650793651,120,221
BLA04,1,BB00_CC01,training,3,1,1,20,55.1349206349206,120,241
BLA04,1,BB00_CC01,training,3,2,21,40,47.5,120,261
BLA04,1,BB00_CC01,training,3,3,41,60,55,120,281
BLA04,1,BB00_CC01,training,3,4,61,80,49,120,301
BLA04,1,BB00_CC01,training,3,5,81,100,47.5,120,321
BLA04,1,BB00_CC01,training,3,6,101,120,50.9206349206349,120,341
BLA04,1,BB00_CC01,training,4,1,1,20,55.593253968254,120,361
BLA04,1,BB00_CC01,training,4,2,21,40,52.5,120,381
BLA04,1,BB00_CC01,training,4,3,41,60,45,120,401
BLA04,1,BB00_CC01,training,4,4,61,80,51,120,421
BLA04,1,BB00_CC01,training,4,5,81,100,52.5,120,441
BLA04,1,BB00_CC01,training,4,6,101,120,49.0793650793651,120,461
BLA04,1,BB00_CC01,training,5,1,1,20,44.406746031746,120,481
BLA04,1,BB00_CC01,training,5,2,21,40,49.5,120,501
BLA04,1,BB00_CC01,training,5,3,41,60,58,120,521
BLA04,1,BB00_CC01,training,5,4,61,80,49,120,541
BLA04,1,BB00_CC01,training,5,5,81,100,50,120,561
BLA04,1,BB00_CC01,training,5,6,101,120,53.4206349206349,120,581
BLA04,1,BB00_CC01,training,6,1,1,20,50.593253968254,120,601
BLA04,1,BB00_CC01,training,6,2,21,40,52.5,120,621
BLA04,1,BB00_CC01,training,6,3,41,60,45,120,641
BLA04,1,BB00_CC01,training,6,4,61,80,51,120,661
BLA04,1,BB00_CC01,training,6,5,81,100,50.5,120,681
BLA04,1,BB00_CC01,training,6,6,101,120,50.906746031746,120,701
BLA04,1,BB00_CC01,training,7,1,1,20,49.406746031746,120,721
BLA04,1,BB00_CC01,training,7,2,21,40,42.5,120,741
BLA04,1,BB00_CC01,training,7,3,41,60,55,120,761
BLA04,1,BB00_CC01,training,7,4,61,80,67.5,120,781
BLA04,1,BB00_CC01,training,7,5,81,100,49,120,801
BLA04,1,BB00_CC01,training,7,6,101,120,55.1488095238095,120,821
BLA04,1,BB00_CC01,training,8,1,1,20,50.593253968254,120,841
BLA04,1,BB00_CC01,training,8,2,21,40,52.5,120,861
BLA04,1,BB00_CC01,training,8,3,41,60,55,120,881
BLA04,1,BB00_CC01,training,8,4,61,80,58,120,901
BLA04,1,BB00_CC01,training,8,5,81,100,67,120,921
